text,true,predicted
Transfusion haemosiderosis inspite of regular use of desferrioxamine: case report.,positive,negative
Gemcitabine-related radiation recall preferentially involves internal tissue and organs.,positive,negative
"Careful follow-up of so-called ""self-limited"" insulin edema is encouraged, and the early institution of diuretic therapy is advocated in elderly patients to prevent the development of overt cardiac failure.",positive,negative
"The multiple drug schema consisted of: Etoposide 16.213, Methotrexate, Cyclophosphamide, Actomycin-D, and Cisplatin.",negative,positive
Gastric-outlet obstruction induced by prostaglandin therapy in neonates.,negative,positive
"However, long-term PUVA therapy may cause several adverse effects including skin cancer, especially squamous cell carcinoma (SCC).",negative,positive
"We describe three blood brothers who were involved in pottery glazing and suffered from repeated episodes of severe abdominal pain, nausea, vomiting, constipation and anemia due to lead toxicity.",negative,positive
Self-limited edema is a well-recognized complication of insulin therapy.,positive,negative
"Intravenous bolus administration of magnesium (Mg) sulfate, followed by intramuscular Mg repletion, abolished the digitalis-toxic arrhythmia.",negative,positive
Nine delirious patients suffering from lithium intoxication were examined with the Mini-Mental State Exam (MMS) to describe the clinical course of the disorder.,positive,negative
"She continued taking verapamil for 6 months, then, on her own, stopped all medications including the sustained-release verapamil, and her asthma symptoms disappeared.",positive,negative
"We describe a 63 year old woman with a suppurative mediastinitis, treated with continuous PI irrigation who developed an acute oliguric renal failure.",positive,negative
"In animals AmB incorporated into liposomes is highly effective against experimental leishmaniasis, with low toxicity.",negative,positive
"Three patients received respectively 190 mg, 175 mg, and 196 mg of methotrexate and developed bilateral pulmonary infiltrates without evidence of peripheral blood eosinophilia.",positive,negative
Anaphylactoid reaction to 50% solution of dextrose.,positive,negative
"Although its side effects are few, tamoxifen increases the incidence of proliferative lesions of the endometrium, which theoretically should be preventable with progestational agents.",positive,negative
We report the occurrence of a cerebral hemorrhage related to cerebral amyloid angiopathy in a patient who underwent thrombolysis and treatment with heparin for acute myocardial infarction.,negative,positive
"However, 1 eye had vitreous hemorrhage after repeated injections of tPA.",positive,negative
"CONCLUSIONS: To avoid and protect themselves against potential abandonment allegations when termination of the physician-patient relationship is warranted, physicians are advised to consider following the outlined procedures.",negative,positive
Establishment of diuresis with fluids and IV administration of calcium may provide successful treatment of magnesium toxicosis in horses.,positive,negative
"One of these was clofazimine, an aniline aposafranine derivative known to produce a ceroid-like pigment in the tissues of patients treated with this drug or lepromatous leprosy.",positive,negative
"OBJECTIVE: To report a case of rhabdomyolysis caused by Commiphora mukul, a natural lipid-lowering agent.",negative,positive
Systemic lupus erythematosus (SLE) developed in as 23-year-old woman with psoriasis during treatment with psoralen-ultraviolet-A (PUVA).,negative,positive
Interstitial granulomatous dermatitis is most commonly associated with rheumatoid arthritis (RA) but may be induced by medications as well.,negative,positive
An objective causality assessment suggests that the JHR in our patient was probably related to penicillin.,positive,negative
"A 46-year-old man began taking nicotinic acid, 3 g daily, for hypercholesterolemia.",negative,positive
A 54-year-old woman had seizures and a focal neurologic deficit associated with hyponatremia induced by a thiazide diuretic.,negative,positive
To the best of our knowledge there have been no previous reports of AGEP induced by the ingestion of nimesulide in the medical literature.,negative,positive
This toxic effect may be added to the list of potential adverse events occurring during ddI therapy.,negative,positive
Non-fatal mirtazapine overdose.,negative,positive
"The patient developed cardiac arrhythmias, acute renal failure, and anemia.",negative,positive
"No explanation for this delay was found, other than the possibility that magnesium sulfate treatment impeded lactogenesis.",positive,negative
Abdominal wall ulceration and mucinosis secondary to recombinant human interferon-beta-1b.,positive,negative
"One half hour following the ingestion of a possibly tainted antibiotic capsule, a 14 year-old female experienced acute onset of stiffness and weakness in her lower extremities.",negative,positive
"The mechanism, causes, and significance of disulfiram-like reactions are discussed.",negative,positive
Induction of systemic lupus erythematosus by interferon-gamma in a patient with rheumatoid arthritis.,positive,negative
It is very likely that the dexamethasone used in the antiemetic drug regimen contributed to the development of osteonecrosis in these patients.,positive,negative
MANAGEMENT: Intravenous dobutamine and dopamine for cardiogenic shock and discontinuation of interferon alpha-2b.,negative,positive
Is it safe to switch from stavudine to zidovudine after developing symptomatic hyperlactatemia?,negative,positive
We describe a unique case of disseminated cryptococcosis presenting as colitis that mimicked an exacerbation of Crohn's disease in a TNF-alpha inhibitor recipient.,negative,positive
Severe lactic acidosis related to acute thiamine deficiency.,negative,positive
The beta-lactam antibiotics are reported to induce convulsions caused by the suppression of inhibitory GABAergic functions.,negative,positive
"As these cases revealed, close monitoring of blood chemistry is mandatory after starting spironolactone, and patients should be advised to stop spironolactone immediately if diarrhoea develops.",positive,negative
"Ataxia caused by propafenone has been reported to the pharmaceutical companies and drug monitoring agencies, but has not been well described or emphasized in the medical literature.",positive,negative
"Due to paranoia and agitation, the dose was increased to 5 mg twice daily after 2 days.",negative,positive
"After 2 months, she developed a severe depressive syndrome which lead to suicidal ideation.",negative,positive
"We describe the case of a patient with a clinically silent left-sided nasofrontal dermoid cyst who, while being treated with hCG/LH for hypogonadotropic hypogonadism, presented with simple partial seizures, ipsilateral to the cyst, with secondary generalization.",negative,positive
In two patients clozapine was reinstated after risperidone was discontinued; serum triglyceride levels increased.,positive,negative
Rheumatoid arthritis (RA) is an autoimmune disease associated with altered immunoregulation and resulting in a deforming polyarthritis.,negative,positive
Possible long-term teratogenic effect of isotretinoin in pregnancy.,negative,positive
"Corticosteroids were stopped, and systemic trimethoprim-sulfamethoxazole and topical tobramycin, colistin, chloramphenicol and sulfisoxazole were given.",negative,positive
Transient bilateral blindness and posterior reversible encephalopathy syndrome: a rare complication of enuresis treatment.,negative,positive
"The patient was enrolled in a weight-loss clinic, and his diabetes medications were adjusted.Subsequently, olanzapine was discontinued because of weight gain and uncontrolled diabetes.",positive,negative
Leukopenia and agranulocytosis are well reported and dangerous haematological side-effects associated with the use of typical and atypical antipsychotics.,negative,positive
A previously unreported complication of the use of prostaglandin analog medications for glaucoma therapy is described.,negative,positive
"Alternatively, certain viral infections could induce leukopenia.",negative,positive
"Fracture of the femoral neck occurred in one patient during PSL therapy, although the relationship between the fracture and PSL therapy was uncertain.",positive,negative
As a clinical entity atrioventricular (AV) block due to hypothyroidism is rare.,negative,positive
"Severe allergic reactions, although uncommon, have been reported.",negative,positive
A 73-year-old woman with rheumatoid arthritis had been treated with weekly low-dose methotrexate (MTX) for 5 years.,negative,positive
Acute renal failure caused by fungal bezoar: a late complication of Candida sepsis associated with central catheterization.,negative,positive
Treatment of APL in pregnancy is controversial as the use of ATRA has been questioned due to the teratogenic effect of retinoids.,positive,negative
TMJ symptoms improved after the first bilateral intra-articular infliximab injections but even more so after the second injections.,negative,positive
Therapy-related acute myeloid leukemia following HIV-associated lymphoma.,negative,positive
We reviewed the findings for healthy volunteers/donors who developed haematological malignancies following PEG-rHuMGDF or G-CSF administration.,negative,positive
Collagenous colitis as a subtype of microscopic colitis is a rare cause of chronic diarrhea with unknown pathogenesis.,negative,positive
Corneal edema recurred when the administration of amantadine was resumed.,positive,negative
"All-trans retinoic acid and short-time, high-dose cytarabine in two children with acute promyelocytic leukemia.",negative,positive
"In keeping with findings in the literature, the aortic wall in this case was damaged by secondary changes following irradiation and Bleomycin treatment.",positive,negative
An objective causality assessment suggested that the increased mania was probably related to the decrease in VPA concentration and that a possible interaction exists between lopinavir/ritonavir and VPA.,negative,positive
"The metabolic acidosis associated with the seizures may have caused hypotension by direct cardiotoxicity, an increase in bioavailability of tricyclic antidepressant because of changes in protein binding, an alteration of the effects of tricyclic antidepressant on cardiac membrane sodium channels, or a combination of these mechanisms.",negative,positive
One-half of the women interviewed reported seeing an advertisement for prescription acne treatment before taking Accutane.,negative,positive
Early peritoneal dialysis has not previously been reported for lisinopril induced multiorgan failure.,positive,negative
Cutaneous metastatic plasmacytomas with tropism for a previously injured limb.,negative,positive
"The 38-year-old patient with no previous cardiac or smoking history developed complete heart block, ventricular fibrillation and subsequent asystole.",negative,positive
Fever and neutrophilic alveolitis caused by a vanadium based catalyst.,negative,positive
Hypercontractile heart failure caused by catecholamine therapy in premature neonates.,negative,positive
Long-term follow-up after neoplastic seeding complicating percutaneous ethanol injection for treatment of hepatocellular carcinoma.,positive,negative
A case of phenobarbital exacerbation of a preexisting maladaptive behavior partially suppressed by chlorpromazine and misinterpreted as chlorpromazine efficacy.,positive,negative
"Additionally, ceftriaxone may cause problems in either adults or children with preexisting disease, who may not be well-nourished, or who may be dehydrated.",negative,positive
A 43-year-old woman received cisplatin 60 mg/m2 in 15 minutes during her sixth cycle of therapy.,negative,positive
"Fortunately, however, the hepatotoxicity appears to resolve after discontinuation of the TMP-SMX therapy in most reported cases.",negative,positive
"The development of perianal fistulas in 2 patients, granuloma on biopsy in 1 patient and perianal skin tag in 1 patient, led to a diagnosis change of CD.",negative,positive
This report describes a patient who developed spasticity following a traumatic spinal cord injury.,negative,positive
"Although it is difficult to solely attribute intratumoral hemorrhage to aspirin, we have to be careful when prescribing aspirin for patients who have asymptomatic meningioma.",positive,negative
"To our knowledge, this is the first case of stroke occurring in a pregnant woman following vasopressor therapy for spinal anesthesia-induced hypotension.",negative,positive
BAL demonstrated a significant lymphocytic alveolitis typical for hypersensitivity pneumonitis.,negative,positive
The fifth patient experienced nausea and discontinued treatment after 4 weeks.,negative,positive
"In addition, they should continue to reserve its use for moderate-to-severe Pneumocystis jiroveci pneumonia for which trimethoprim-sulfamethoxazole is ineffective or contraindicated.",negative,positive
Symptoms disappeared rapidly following cessation of emepromium bromide therapy.,negative,positive
"Paranoid psychosis may result from intoxication with, or withdrawal from amphetamines.",negative,positive
Stable renal function followed the initiation of high-dose subcutaneous heparin therapy.,negative,positive
A positive reaction to sodium bisulfite in Tathion eye drops was confirmed.,negative,positive
"Herein, we present a patient with severe and prolonged hypoglycemia after long-acting octreotide treatment.",positive,negative
Toxic epidermal necrolysis (TEN) and Stevens-Johnson syndrome (SJS) are severe life-threatening dermatologic conditions.,negative,positive
Isotretinoin teratogenicity.,positive,negative
We report 2 cases of patients receiving sunitinib for metastatic renal cell carcinoma while undergoing dialysis.,negative,positive
"After the third injection to the abdomen, the patient developed a rash, and after the fourth and fifth injections to other areas of the abdomen, injection-site papules were seen.",negative,positive
We present the case of an adult Crohn's disease patient with a parvovirus B19 infection and leukopenia during long-term AZA therapy.,positive,negative
She was thus diagnosed as having AZ intoxication.,positive,negative
Severe psoriasis is commonly associated with depression and may be its cause.,negative,positive
A possible mechanism for focal neurological deficit in brain-damaged patients on phenytoin therapy is discussed.,positive,negative
Spontaneous hemothorax following anticoagulation with low-molecular-weight heparin.,positive,negative
Esophageal spasm is an infrequent complication of beta-adrenergic over-dose.,negative,positive
"DESIGN: We reviewed the medical records of four patients, who were seen by us between July 2000 and February 2004 for sudden onset of a central neurological syndrome within days of intrathecal MTX.",positive,negative
We here report the first case of psoriatic arthritis which developed lung cancer.,negative,positive
The challenge test for Stevens-Johnson syndrome type drug allergy is very risky.,negative,positive
"We have seen a case of terminal malignant melanoma in which clinical manifestations, indicative of anterior spinal artery syndrome, developed following the injection of 0.3 ml of 10% phenol-glycerine into the cervical subarachnoid space at the C4--C5 level for the control of severe right arm pain.",positive,negative
We investigated whether clozapine used as a first-line antipsychotic drug can cause TD.,negative,positive
Cystoid macular edema responds to intravitreal triamcinolone and rebounds after intravitreal bevacizumab.,negative,positive
We report the case of a 2-year-old boy with seizures who developed hepatic failure shortly after commencing sodium valproate.,negative,positive
"In 6 dogs with multicentric lymphosarcoma, salmonellosis developed shortly after the start of anticancer chemotherapy.",negative,positive
"Review of the literature relating to methicillin-induced nephropathy suggests a hypersensitivity origin for this disorder, but immunologic and ultrastructural investigation to date has failed to elucidate pathogenesis.",positive,negative
"Calciphylaxis is a rare, life-threatening cause of skin necrosis.",negative,positive
Massive pulmonary embolism complicating streptokinase treatment for deep vein thrombosis.,positive,negative
Pneumonitis and pneumatoceles following accidental hydrocarbon aspiration in children.,negative,positive
Schizophrenia-like psychosis caused by a metabolic disorder.,negative,positive
Drug-induced psychosis resulted from the administration of quinacrine hydrochloride at a dosage of 100 mg twice daily for the treatment of discoid lupus.,positive,negative
The episode appeared to have been precipitated by toxicity due to ingestion of a large amount of phenytoin.,negative,positive
This case indicates that the potential for beta-blocker-induced hyperkalemia exists even with topical appreciation.,negative,positive
We report a case of hyponatremic seizures in a 7-year old boy with spina bifida following cystoscopy and suprapubic catheter placement.,negative,positive
Tolazoline induces a dilatation of the pulmonary vascular system by stimulating H2 receptors.,negative,positive
"The striking temporal relationship between commencing dalteparin on day 1 and subsequent development of effusion on day 4, following 3 doses of LMWH, led us to believe that the bleed occurred as a result of the therapy.",negative,positive
We explored ophthalmic and neurologic findings in two children who have been exposed prenatally to VGB.,positive,negative
Keratitis in methamphetamine abusers.,positive,negative
Reversible MR imaging and MR spectroscopy abnormalities in association with metronidazole therapy.,positive,negative
"Based on these findings, the patient was diagnosed with diabetes insipidus secondary to lithium therapy and was treated successfully with amiloride.",positive,negative
"We suspect a possible cause-and-effect relationship, which has not previously been reported in the literature.",negative,positive
Large infarct size and initiation of anticoagulation after early (less than 12 hours) computed tomography were associated with hemorrhagic transformation and clinical worsening in patients who received anticoagulation therapy.,negative,positive
Mitoxantrone appeared to have no cardiac toxicity.,negative,positive
Acute pancreatitis is a rarely reported adverse effect.,negative,positive
Renal tubular acidosis secondary to FK506 in living donor liver transplantation: a case report.,positive,negative
"We report here on two middle-aged women, apparently healthy, who suffered from a fatal intracerebral hemorrhage following a dental treatment.",negative,positive
Worsening of obstructive sleep apnoeas in a patient with rheumatoid arthritis treated with anti-tumor necrosis factor.,negative,positive
"Alopecia does rarely develop in the convalescent status of phenobarbital-induced AHS after stopping phenobarbital and its mechanism is related to lymphocyte infiltration into the peri-bulbar, supra-bulbar and peri-follicular regions.",negative,positive
"Unintended exposure to acyclovir early in pregnancy, which is not uncommon, may cause excessive maternal and physician anxiety.",positive,negative
Acyclovir produces neurologic symptoms that resemble extension of viral infection into the central nervous system.,positive,negative
"Case Report: We report a case of methanol poisoning exhibiting complete recovery from severe visual impairment following treatment with ethanol, fomepizole, and hemodialysis.",negative,positive
We describe a 16-year-old girl with metastatic hepatocellular carcinoma who experienced cesium-induced QT-interval prolongation after the start of a cesium chloride-based alternative treatment regimen.,negative,positive
"We further used immunohistochemistry (IHC) to examine the relative role of platelet-derived growth factor-B (PDGF-B), insulin-like growth factor I (IGF-I), transforming growth factor-beta1 (TGF-beta1) and cyclooxygenase-2 (COX-2) in the pathogenesis of BCNU-related pulmonary fibrosis.",positive,negative
Reflex sympathetic dystrophy syndrome in renal transplanted patients under immunosuppression with tacrolimus.,positive,negative
We describe a 50-year-old woman with rheumatoid arthritis in whom a severe postinjection vasomotor reaction was associated with a cerebral vascular accident.,negative,positive
The case described here suggests an immune-related mechanism for the development of leukopenia.,negative,positive
"There are several side effects that it is commonly associated with; however, it has only rarely been reported to cause lung injury.",negative,positive
Significant clinical improvement of the porphyria followed withdrawal of the diphenylhydantoin.,positive,negative
"Two other patients who did not receive prochlorperazine, developed retinal problems which later improved, one after only 15 g of desferrioxamine.",positive,negative
The first patient developed a histologically documented acute hepatitis and recovered after 3 weeks.,negative,positive
We describe two patients with aspergillus arthritis of the knee joint following fludarabine-based non-myeloablative stem cell transplantation.,positive,negative
Other thiazolidinediones currently in clinical trials may be able to provide the therapeutic benefits of troglitazone without significant hepatotoxicity.,positive,negative
"By x-ray microanalysis, gold that was complexed with sulfur was present in proximal tubular cytoplasmic vacuoles and nuclei.",negative,positive
Serious allergic reactions related to Increlex therapy have not been reported.,negative,positive
Ballistic movements ceased after administration of haloperidol; both patients remained without abnormal movements thereafter.,negative,positive
Phenothiazine treatment and respiratory distress syndrome in a child.,negative,positive
"It is concluded that boldo leaf extracts might be hepatotoxic, at least in elderly patients with fatty liver.",negative,positive
"DISCUSSION: Cutaneous IL-2 adverse effects are frequent, but generally mild and reversible.",negative,positive
"DISCUSSION: CIPS is hypothesized to result from calcineurin-induced vascular changes that disturb bone perfusion and permeability, leading to intraosseous vasoconstriction and bone marrow edema.",negative,positive
"Aminoglutethimide was discontinued until completion of radiotherapy, and the rash resolved.",positive,negative
An unusual cause of burn injury: unsupervised use of drugs that contain psoralens.,positive,negative
Monitoring of liver function tests should be mandatory in patients receiving high doses of cyproterone acetate; the drug should be withdrawn immediately if abnormal liver function tests are found.,positive,negative
"Now, malaria should first be presumed if a patient complains of a higher fever after a visit to a tropical country.",negative,positive
"Hymenoptera sting can lead to an acute myocardial infarction by different pathogenetic mechanisms depending on the presence of preexistent coronary atherosclerosis, the development of shock or the therapeutic use of epinephrine.",negative,positive
We present the case of a 58-year-old woman who ingested more than 35 g of caffeine in a suicide attempt.,positive,negative
Complement factor H (FH) deficiency is one of the causes of atypical hemolytic uremic syndrome (HUS).,negative,positive
Complete remission of the nephrosis occurred after discontinuation of hydroxychloroquine therapy.,positive,negative
Here we report on a patient with severe aplastic anemia who developed PRCA after HLA-identical but major ABO-mismatched peripheral blood stem cell transplantation.,negative,positive
"BACKGROUND: Although 5-aminosalicylic acid (5-ASA) preparations used to treat inflammatory bowel disease are reported to have fewer side effects than sulphasalazine, increased clinical use of these compounds has resulted in increased reports of significant side effects.",negative,positive
"Both patients developed hypoadrenalism while on o,p'-DDD and apparently adequate dexamethasone replacement therapy.",positive,negative
"Early signs of toxicity in the 2 survivors were peripheral neuropathy (day 4), bone marrow toxicity (day 5), gastrointestinal toxicity (days 6 and 7), and hypertension (days 7 and 8).",negative,positive
Biopsies from skin of normal appearance from 18 patients treated with carbamazepine and diphenylhydantoin were investigated by a direct immunofluorescence technique.,negative,positive
Septic knee arthritis after intra-articular hyaluronate injection.,positive,negative
"Our patient experienced dyspnea, worsening hypoxemia, and a progressive obstructive ventilatory defect 12 days after liver transplantation.",negative,positive
A 9-year-old boy developed acute renal failure following intravenous acyclovir (30 mg/kg per day) administered for 6 days to treat herpetic encephalitis.,positive,negative
Pulmonary toxicity is believed to be uncommon.,negative,positive
"""Retinoic acid syndrome"" was prevented with short-time treatment of high dose (4 x 1.5 g/m2) cytarabine.",negative,positive
"Despite minimal short-term side effects and apparent efficacy, chronic treatment of MG with MM may be associated with increased risk of lymphoproliferative disorders.",positive,negative
Acne fulminans and 13-cis-retinoic acid.,negative,positive
Two patients who received granulocyte colony stimulating factor (G-CSF) before or during radiotherapy are reviewed.,negative,positive
Prolonged dexmedetomidine infusion as an adjunct in treating sedation-induced withdrawal.,negative,positive
PURPOSE: To report a case of bilateral anterior uveitis associated with ovulation induction therapy using clomiphene citrate.,positive,negative
Blood GHB concentrations in the range 156-260 mg/L have been reported to induce moderately sound sleep.,negative,positive
Use of clonidine for chemical submission.,negative,positive
The case of a myasthenia-like syndrome induced by cardiovascular drugs is reported.,negative,positive
"It was highly suspected that finasteride was associated with the anterior subcapsular opacity on the lens, and the patient therefore discontinued use of finasteride.",positive,negative
"If associated with a prolonged QT interval, it is called torsades de pointes.",negative,positive
Role of ciclosporin in steroid-responsive sudden sensorineural hearing loss.,negative,positive
"We observed intracranial hemorrhagic infarcts with focal seizures and hemiparesis associated with clotting abnormalities, including severe hypofibrinogenemia, probably the result of L-asparaginase administered during induction therapy of acute lymphocytic leukemia.",negative,positive
"Cancer patients with decreased DPD activity are at increased risk for severe toxicity including diarrhea, stomatitis, mucositis, myelosuppression, neurotoxicity, and, in some cases, death.",negative,positive
Managing cardiovascular collapse in severe flecainide overdose without recourse to extracorporeal therapy.,positive,negative
A 55-year-old man developed acute myocardial infarction (AMI) related to a large coronary artery aneurysm and a distal coronary stenotic lesion after steroid therapy for systemic lupus erythematosus (SLE).,negative,positive
"The changes were those of nodular hyperplasia, sclerosis of terminal hepatic venules with associated zone 3 hemorrhagic necrosis, and sinusoidal fibrosis.",negative,positive
We can speculate that the overexpression of VEGF induced by local ischemia and inflammation can make these patients more likely to have CNV.,negative,positive
"These findings suggested vasospasm or dissection, presumably related to hypertension and/or angiitis or vasoconstriction of large cerebral arteries leading to local thrombosis as a result of stasis and sympathomimetic-induced platelet activation.",negative,positive
Electrolytes must be monitored frequently during foscarnet therapy.,negative,positive
"In four patients, spasm occurred spontaneous and in one patient after 0.05 mg of ergonovine.",positive,negative
The pro-arrhythmic effects of procainamide may be explained on the basis of both its vagolytic action on the atrioventricular node as well as by prolongation of refractoriness in the accessory pathway.,positive,negative
Seventy-four per cent of patients with epileptogenic disorders seen at the Emergency Unit at Groote Schuur Hospital were on phenytoin and 11.6% of these had blood levels in the toxic range.,positive,negative
The risk of new-onset diabetic ketoacidosis in patients with diabetic risk factors who are taking perospirone hydrochloride or other atypical antipsychotics should be kept in mind.,positive,negative
Osteonecrosis is a serious side effect of antiemetic treatment with dexamethasone and this serious complication should be incorporated in the current guidelines.,positive,negative
This case is unique in that interstitial lung disease evolved in parallel with colitis and caused severe hypoxemia.,negative,positive
He developed rhabdomyolysis with hemoglobinuria after 2 weeks of treatment.,negative,positive
We describe two cases of drug-induced myopathy during long-term treatment of chronic hepatitis B with clevudine.,negative,positive
METHODS: A 40-year-old patient developed painless corneal edema despite minimal epithelial injury after exposure to ushaar latex.,negative,positive
"Both patients developed a severe, sustained hypothyroidism requiring thyroxine treatment for one year or more after stopping alpha interferon.",negative,positive
The neuropathological changes had features similar to those seen in leukoencephalopathy with intrathecal administration of methotrexate.,negative,positive
"Of the four patients who responded to HU with an increase in total Hb, all reported symptomatic improvement and three have not required further transfusions.",positive,negative
Dystonic symptoms began two to three weeks after introduction of therapy and subsided within three weeks after discontinuation.,negative,positive
The patient developed flares of vasculitis symptoms associated with rises in either type of ANCA.,negative,positive
The international literature regarding opportunistic infections after immunosuppressive therapy with alemtuzumab with particular attention on fungal infections has also been reviewed.,positive,negative
We present three cases of women who developed acute transient myopia caused by drugs for gynecological problems.,negative,positive
"Corneal edema resolved completely after 2 weeks, although reduced endothelial cell count and abnormal morphology persisted.",negative,positive
"As a result, there have been several reports of children and adults on TPN who have developed WE as a result of thiamine deficiency.",negative,positive
Case study on drug-related adverse effects of hepatitis C therapy.,negative,positive
"RESULTS: After a prolonged postoperative course, including administration of topical ofloxacin, tobramycin, chloramphenicol, and dexamethasone, UCVA returned to 20/20.",negative,positive
"Three months following splenectomy, multiple abscesses occurred in the muscles of both thighs while the patient was receiving the third course of the CHOP regimen.",positive,negative
"In one child, a second course of carbamazepine resulted in a return of the dystonia.",positive,negative
These findings support previous studies that showed that the use of aspirin during the antecedent illness may be a risk factor for the development of RS.,positive,negative
METHODS: A 40-year-old female with a 3-year history of panic disorder was prescribed fluvoxamine 50 mg day(-1) in addition to clorazepate dipotassium and sulpiride.,negative,positive
Sporadic rippling muscle disease unmasked by simvastatin.,positive,negative
Imatinib-induced tumor lysis syndrome: report of a case and review of the literature.,negative,positive
This case highlights the need to monitor liver enzymes in patients treated with 6-TG and identifies the need for additional research focused on the mechanism of thiopurine-induced hepatic injury.,positive,negative
The dose of cefoxitin should be reduced in patients with renal functional impairment.,negative,positive
Magnesium sulfate and digitalis-toxic arrhythmias.,negative,positive
"Under prophylactic treatment with low-dose trimipramine (50 mg) or nefazodone (200 mg/day) therapy with IFN-alpha 3 x 3 mio IE/week was re-established after several months and again 2 years later adding ribavirin 1200 mg/day, a virustaticum.",negative,positive
Symptoms resolved without consequence 48 hours after discontinuation of venlafaxine.,negative,positive
CONCLUSION: Although BCG is considered a very effective treatment; consensus exists that not every patient with superficial bladder cancer should be treated with BCG due to its increased risk of toxicity.,negative,positive
We report a case of a male infertility patient with asthenozoospermia during long-term treatment with anti-epileptic drugs.,negative,positive
"Interference with the cortisol axis by the microtubule antagonist, CPH82.",positive,negative
The newborn manifested a four day course of lethargy with unexplained high lithium levels in the adult toxic range.,positive,negative
CONCLUSIONS: This is the first report of occurrence of scleromyxedema in a patient with MS.,negative,positive
"We discuss the potential mechanisms associated to OXC and status migrainosus, drug-induced headaches and uncontrolled headaches.",negative,positive
Hepatolithiasis is uncommon in western countries but is quite prevalent in East Asia and is often associated with a predisposing condition that causes intrahepatic bile stasis (eg. bile duct stricture).,negative,positive
Management of heparin allergy during pregnancy with danaparoid.,negative,positive
"A 48-year-old woman with known epilepsy presented to the Emergency Department with a 1-day history of decreasing coordination, impaired speech, and recurrent falls.",negative,positive
This study seems to indicate that anti-retroviral-induced lipodystrophy and hypertriglyceridemia may be associated to some racial factor.,negative,positive
"Such reactions have been described in patients receiving certain drugs such as 5-nitroimidazoles, nitrofurans, sulfonylureas and certain newer cephalosporins with a methyltetrazolethiol side chain.",negative,positive
This case report describes a 38-year-old male in whom SIADH was strongly suspected secondary to Tegretol therapy to control a seizure disorder.,positive,negative
Combining methylephedrine and Chinese herbal drugs might carry a risk of stroke.,positive,negative
A euthyroid woman with ophthalmic Graves disease developed endogenous hyperthyroidism coincident with T3 suppression test.,negative,positive
Raynaud's phenomenon and acral necrosis after chemotherapy for AIDS-related Kaposi's sarcoma.,negative,positive
Granulocyte macrophage-colony-stimulating factor (GM-CSF) has shown promise as a means of alleviating leukopenia associated with a wide variety of disorders.,negative,positive
Priapism associated with thrombophilia is a well-recognized entity.,negative,positive
"It was highly suspected that finasteride was associated with the anterior subcapsular opacity on the lens, and the patient therefore discontinued use of finasteride.",positive,negative
This is the first reported case of the use of Monsel's solution to arrest excessive uterine bleeding after the evacuation of retained products of conception after a miscarriage.,negative,positive
"A brief review of reported cases of chloramphenicol hypersensitivity in the English-language literature, as well as possible alternative explanations in this case, are provided.",positive,negative
"In one case, the readministration of riluzole was followed by the relapse of hepatitis.",positive,negative
Taxanes are widely used chemotherapeutic agents with the potential to induce pulmonary injury through a variety of mechanisms.,negative,positive
